"company","job description","required qualification","location"
"Maruti Suzuki India Limited","Press Shop Operations Trainee. 12-month hands-on role. Learn to operate and support large sheet metal pressing machines. Assist with die changes and quality checks.","ITI (Fitter/Mechanic) or Diploma in Mechanical Engineering. Must meet PMIS age and income criteria.","Gurugram,  Haryana"
"HDFC Bank Limited","HR Trainee (Recruitment). 12-month role at a regional office. Support HR in scheduling interviews,  coordinating with candidates,  and managing pre-joining formalities.","BBA (HR) graduate (non-premier institute). Must meet PMIS age (21-24) and income (<8L) criteria.","Kolkata,  West Bengal"
"Reliance Industries Limited","Security Operations Trainee. 12-month role at a large complex. Learn physical security,  access control,  and emergency response procedures.","Class 12 Pass or B.A. (any discipline). Must meet physical fitness standards. Must meet PMIS eligibility.","Patalganga,  Maharashtra"
"Infosys Limited","Recruitment Support Trainee. 12-month role assisting the talent acquisition team. Learn to source candidates from portals,  screen resumes,  and coordinate interview drives.","BBA (HR) or B.A. (any discipline) graduate (non-premier). Must meet PMIS age and income criteria.","Chandigarh,  Punjab"
"Tata Steel Limited","Civil Maintenance Trainee. 12-month role supporting the civil department. Assist in inspection and maintenance of plant buildings,  roads,  and foundations.","Diploma in Civil Engineering. Must meet PMIS age (21-24) and income (<8L) criteria.","Jamshedpur,  Jharkhand"
"Larsen and Toubro Limited","Procurement Trainee (Project Site). 12-month on-site role. Assist the procurement team with managing materials,  tracking orders,  and coordinating with suppliers.","B.Com or Diploma in Materials Management. Must meet PMIS age (21-24) and income (<8L) criteria.","Cuttack,  Odisha"
"ICICI Bank Limited","Business Analytics Trainee (Data Entry). 12-month back-office role. Collect and enter data into systems for analysis. Prepare basic reports using Excel.","B.Sc (Stats) or B.Com (non-premier institute). Good Excel skills required. Must meet PMIS eligibility.","Bengaluru,  Karnataka"
"Hindustan Unilever Limited","Administrative Trainee (Factory). 12-month office role at a factory. Support administration,  time-keeping,  and general office management.","B.A. or B.Com graduate (non-premier institute). Must meet PMIS age (21-24) and income (<8L) criteria.","Mysuru,  Karnataka"
"Wipro Limited","HR Operations Trainee. 12-month role supporting the HR team. Assist with employee onboarding,  managing files,  and handling data entry for the HRMS.","BBA (HR) graduate (non-premier institute). Must meet PMIS age (21-24) and income (<8L) criteria.","Chennai,  Tamil Nadu"
"Mahindra and Mahindra Limited","R&D Trainee (Testing). 12-month role at the R&D center. Assist in setting up tests for automotive components,  logging data,  and preparing test beds.","Diploma in Mechanical/Automobile Engineering. Must meet PMIS age (21-24) and income (<8L) criteria.","Kanchipuram,  Tamil Nadu"
"GAIL (India) Limited","Instrumentation Maintenance Trainee. 12-month hands-on role at a compressor station. Assist technicians in maintaining and calibrating field instruments.","Diploma in Instrumentation/Electronics Engineering (EIE/ECE). Must meet PMIS age and income criteria.","Hazira,  Gujarat"
"Bajaj Auto Limited","Materials Management Trainee (Stores). 12-month role in the plant stores. Manage inbound parts,  issue components to the assembly line,  and maintain inventory records.","Diploma in Mechanical/Materials Management. Must meet PMIS age (21-24) and income (<8L) criteria.","Waluj,  Maharashtra"
"NTPC Limited","Finance Trainee (Plant). 12-month office role at the power plant. Assist the finance team with voucher entry,  bill processing,  and supporting audits.","B.Com graduate (non-premier institute). Must meet PMIS age (21-24) and income (<8L) criteria.","Vindhyachal,  Madhya Pradesh"
"Axis Bank Limited","Fraud Control Trainee (Data Entry). 12-month back-office role. Monitor transactions for suspicious activity,  perform data entry for case files.","B.Com or B.Sc (any discipline) graduate (non-premier). High attention to detail. Must meet PMIS eligibility.","Mumbai,  Maharashtra"
"Indian Oil Corporation Limited","HR Trainee (Admin). 12-month role at a regional office. Assist with employee documentation,  training coordination,  and administrative support.","BBA or B.A. (any discipline) graduate (non-premier). Must meet PMIS age and income criteria.","Mumbai,  Maharashtra"
"Hindustan Petroleum Corporation Limited","Refinery Safety Trainee. 12-month on-site role. Assist the safety department with site inspections,  permit-to-work checks,  and safety data management.","Diploma in Industrial Safety or B.Sc (any discipline). Must meet PMIS age and income criteria.","Visakhapatnam,  Andhra Pradesh"
"Reliance Retail Limited","Visual Merchandising Trainee (Reliance Trends). 12-month store-based role. Learn to implement window displays,  manage in-store signage,  and maintain store aesthetics.","Class 12 Pass. Creative aptitude required. Must meet PMIS age (21-24) and income (<8L) criteria.","Hyderabad,  Telangana"
"JSW Steel Limited","Electrical Maintenance Trainee. 12-month hands-on role. Assist electricians in maintaining motors,  transformers,  and switchgear in the steel plant.","ITI (Electrician) or Diploma in Electrical Engineering (EEE). Must meet PMIS age and income criteria.","Salem,  Tamil Nadu"
"Power Grid Corporation of India Limited","HR Trainee (Admin). 12-month role at a regional HQ. Support recruitment coordination,  employee file management,  and office administration.","BBA (HR) graduate (non-premier institute). Must meet PMIS age (21-24) and income (<8L) criteria.","Vadodara,  Gujarat"
"ITC Limited","Quality Assurance Trainee (FMCG). 12-month role in a food plant lab. Test raw materials and finished products (e.g.,  biscuits,  noodles) for quality.","B.Sc (Food Technology/Chemistry) (non-premier). Must meet PMIS age (21-24) and income (<8L) criteria.","Haridwar,  Uttarakhand"
"Tata Consultancy Services Limited","Helpdesk Trainee (Internal IT). 12-month role providing basic IT support to TCS employees. Handle password resets,  software installation,  and hardware requests.","B.Sc (IT) or BCA (non-premier institute). Must meet PMIS age (21-24) and income (<8L) criteria.","Pune,  Maharashtra"
"HCL Technologies Limited","Operations Support Trainee. 12-month back-office role. Support a business process,  perform data validation,  and prepare reports for a manager.","B.A. or B.Com graduate (non-premier institute). Good Excel skills required. Must meet PMIS eligibility.","Lucknow,  Uttar Pradesh"
"Muthoot Finance Limited","Audit Support Trainee. 12-month role assisting internal audit teams. Travel to branches to verify documents,  check gold packets,  and ensure compliance.","B.Com graduate (non-premier institute). Willing to travel. Must meet PMIS eligibility.","Kochi,  Kerala"
"Oil India Limited","Civil Maintenance Trainee. 12-month field role. Assist in maintaining civil structures,  roads,  and facilities at field installations.","Diploma in Civil Engineering. Must meet PMIS age (21-24) and income (<8L) criteria.","Duliajan,  Assam"
"Steel Authority of India Limited","Instrumentation Trainee. 12-month hands-on role. Assist technicians in maintaining and calibrating sensors and control loops in the steel plant.","Diploma in Instrumentation Engineering (EIE). Must meet PMIS age and income criteria.","Durgapur,  West Bengal"
"Kotak Mahindra Bank Limited","Data Entry Trainee (Loan Processing). 12-month back-office role. Enter customer application data into the system for loan processing. High accuracy needed.","Class 12 Pass or B.A. (any discipline). Good typing speed. Must meet PMIS eligibility.","Mumbai,  Maharashtra"
"Tech Mahindra Limited","HR Trainee (Recruitment). 12-month role supporting the HR team. Learn to source resumes,  schedule interviews,  and coordinate onboarding.","BBA (HR) graduate (non-premier institute). Must meet PMIS age (21-24) and income (<8L) criteria.","Kolkata,  West Bengal"
"Northern Coalfields Limited","Mechanical Maintenance Trainee (Workshop). 12-month role in the workshop. Assist in repairing and overhauling heavy mining equipment components.","ITI (Fitter/Welder) or Diploma in Mechanical Engineering. Must meet PMIS age and income criteria.","Singrauli,  Madhya Pradesh"
"UltraTech Cement Limited","Chemical Lab Trainee. 12-month role testing cement and raw materials. Learn to use XRF and other lab equipment. Record and report quality data.","B.Sc (Chemistry). Must meet PMIS age (21-24) and income (<8L) criteria. Not from premier institute.","Balaji,  Andhra Pradesh"
"Hero MotoCorp Limited","Store Keeper Trainee. 12-month role in the plant stores. Manage inventory of spare parts,  issue components,  and maintain records in SAP.","B.Com or Diploma in Materials Management. Must meet PMIS age (21-24) and income (<8L) criteria.","Neemrana,  Rajasthan"
"NHPC Limited","Safety Trainee (Power Station). 12-month on-site role. Assist the safety officer with inspections,  training,  and documentation related to power plant safety.","Diploma in Industrial Safety or B.Sc (any discipline). Must meet PMIS age and income criteria.","Parbati,  Himachal Pradesh"
"Asian Paints Limited","Production Trainee (Operations). 12-month hands-on role at the paint manufacturing plant. Learn batch processing,  machine operation,  and quality control.","Diploma in Chemical/Mechanical Engineering. Must meet PMIS age (21-24) and income (<8L) criteria.","Mysuru,  Karnataka"
"IndusInd Bank Ltd","Operations Trainee (Clearing). 12-month back-office role. Process inward and outward cheques,  manage clearing house operations,  and handle discrepancies.","B.Com graduate (non-premier institute). Must meet PMIS age (21-24) and income (<8L) criteria.","Mumbai,  Maharashtra"
"Samsung India Electronics Private Limited","Logistics Trainee (Warehouse). 12-month role in the factory warehouse. Learn inventory management,  coordinate shipments,  and use warehouse software.","B.Com (Logistics) or BBA (non-premier institute). Must meet PMIS age (21-24) and income (<8L) criteria.","Noida,  Uttar Pradesh"
"Mahanadi Coalfields Limited","Finance Trainee (Admin). 12-month office role at the colliery. Assist the finance team with data entry,  bill processing,  and voucher management.","B.Com graduate (non-premier institute). Must meet PMIS age (21-24) and income (<8L) criteria.","Talcher,  Odisha"
"Shriram Finance Limited","Data Entry Trainee (Branch). 12-month role supporting branch operations. Enter customer data,  loan details,  and payment information into the system.","Class 12 Pass. Basic computer skills and good typing speed. Must meet PMIS age and income criteria.","Chennai,  Tamil Nadu"
"Bandhan Bank Limited","Customer Service Trainee (Branch). 12-month customer-facing role. Handle queries,  assist with deposits/withdrawals,  and explain banking products.","Class 12 Pass or B.A. (any discipline). Good communication skills. Must meet PMIS eligibility.","Siliguri,  West Bengal"
"Ambuja Cements Limited","Mechanical Maintenance Trainee (Wagon Tippler). 12-month hands-on role. Assist in the maintenance of wagon tippler and material handling equipment.","Diploma in Mechanical Engineering or ITI (Fitter). Must meet PMIS age and income criteria.","Kodinar,  Gujarat"
"Oil and Natural Gas Corporation Limited","Electrical Maintenance Trainee. 12-month hands-on role at a production installation. Assist electricians in maintaining motors,  panels,  and lighting.","Diploma in Electrical Engineering (EEE). Must meet PMIS age (21-24) and income (<8L) criteria.","Rajahmundry,  Andhra Pradesh"
"Maruti Suzuki India Limited","Finance Trainee (Accounts Payable). 12-month office role. Assist in processing vendor invoices,  verifying payments,  and handling vendor queries.","B.Com graduate (non-premier institute). Must meet PMIS age (21-24) and income (<8L) criteria.","New Delhi,  Delhi"
"HDFC Bank Limited","KYC Verification Trainee (Central Team). 12-month back-office role. Verify customer identity documents,  check for fraud,  and ensure compliance.","B.Com or B.A. graduate (non-premier institute). High attention to detail. Must meet PMIS eligibility.","Mumbai,  Maharashtra"
"Reliance Industries Limited","Security Systems Trainee (IT). 12-month role supporting the security tech team. Learn to monitor CCTV,  manage access control systems,  and troubleshoot issues.","Diploma in Electronics/IT. Must meet PMIS age (21-24) and income (<8L) criteria.","Jamnagar,  Gujarat"
"Infosys Limited","BPO Trainee (Telecom). 12-month role supporting a telecom client. Handle customer queries regarding billing,  plans,  and service issues (non-voice/chat).","B.A. or B.Sc (any discipline,  non-premier). Good written English required. Must meet PMIS eligibility.","Pune,  Maharashtra"
"Tata Steel Limited","Operations Trainee (Coke Plant). 12-month hands-on role. Learn coke oven operations,  monitor temperatures,  and support safety procedures.","Diploma in Chemical/Metallurgical Engineering or B.Sc (Chemistry). Must meet PMIS age and income criteria.","Kalinganagar,  Odisha"
"Larsen and Toubro Limited","HR Trainee (Site Admin). 12-month role at a large project site. Assist with worker time-keeping,  payroll data collection,  and managing site administration.","BBA (HR) or B.A. (any discipline) graduate (non-premier). Must meet PMIS age and income criteria.","Ahmedabad,  Gujarat"
"ICICI Bank Limited","Credit Underwriting Trainee (Data Entry). 12-month back-office role. Support underwriters by entering financial data from loan applications into the system.","B.Com graduate (non-premier institute). Must meet PMIS age (21-24) and income (<8L) criteria.","Mumbai,  Maharashtra"
"Hindustan Unilever Limited","Safety Trainee (Factory). 12-month on-site role. Assist the safety department with inspections,  training"," and maintaining safety records.","Diploma in Industrial Safety or B.Sc (any discipline). Must meet PMIS age (21-24) and income (<8L) criteria., Goa"
"Wipro Limited","Procurement Trainee (BPO). 12-month role supporting a client's procurement process. Learn to create purchase orders,  track deliveries,  and handle vendor queries.","B.Com graduate (non-premier institute). Must meet PMIS age (21-24) and income (<8L) criteria.","Bengaluru,  Karnataka"
"Mahindra and Mahindra Limited","R&D Trainee (CAD/Drafting). 12-month role supporting engineers. Learn to make 2D drawings and simple 3D models using CAD software.","Diploma in Mechanical/Automobile Engineering (with CAD skills). Must meet PMIS eligibility.","Kanchipuram,  Tamil Nadu"
"GAIL (India) Limited","Security Trainee (Admin). 12-month role at a plant. Assist the security department with managing passes,  visitor logs,  and coordinating with security guards.","Class 12 Pass or B.A. (any discipline). Must meet PMIS age (21-24) and income (<8L) criteria.","Auraiya,  Uttar Pradesh"
"Bajaj Auto Limited","Production Trainee (Paint Shop). 12-month hands-on role. Learn surface preparation,  painting processes,  and quality inspection of painted motorcycle parts.","ITI (Painter) or Diploma in Chemical/Paint Technology. Must meet PMIS age and income criteria.","Waluj,  Maharashtra"
"NTPC Limited","HR Trainee (Admin). 12-month office role at the power plant. Assist the HR team with employee records,  managing training logistics,  and administration.","BBA (HR) or B.A. (any discipline) graduate (non-premier). Must meet PMIS age and income criteria.","Ramagundam,  Telangana"
"Axis Bank Limited","Locker Operations Trainee. 12-month branch role. Assist with managing safe deposit lockers,  customer verification,  and documentation.","Class 12 Pass or B.A. (any discipline). Must meet PMIS age (21-24) and income (<8L) criteria.","Jaipur,  Rajasthan"
"Indian Oil Corporation Limited","Operations Trainee (Aviation Fueling). 12-month role at an airport. Learn quality control of aviation fuel,  refuelling operations,  and safety protocols.","Diploma in Mechanical Engineering or B.Sc (Physics/Chemistry). Must meet PMIS age and income criteria.","Bengaluru,  Karnataka"
"Hindustan Petroleum Corporation Limited","LPG Sales Trainee. 12-month field role. Support the sales team in managing distributor networks,  conducting safety audits,  and promoting new connections.","BBA (Marketing) or B.Com graduate (non-premier). Must meet PMIS age and income criteria.","Pune,  Maharashtra"
"Reliance Retail Limited","Stock Management Trainee (Warehouse). 12-month role in a grocery fulfillment center. Learn inventory receiving,  storage,  and dispatch operations. Use handheld scanners.","Class 12 Pass or B.A. (any discipline). Must meet PMIS age (21-24) and income (<8L) criteria.","Gurugram,  Haryana"
"JSW Steel Limited","Operations Trainee (Blast Furnace). 12-month hands-on role. Learn blast furnace operations,  monitor parameters,  and assist in process control.","Diploma in Metallurgical/Chemical Engineering or B.Sc (Chemistry). Must meet PMIS age and income criteria.","Vijayanagar,  Karnataka"
"Power Grid Corporation of India Limited","Store Keeper Trainee. 12-month role at a regional stores/warehouse. Manage inventory of electrical components,  issue materials,  and maintain records.","Diploma in Electrical/Mechanical Engineering or B.Com. Must meet PMIS age and income criteria.","Nagpur,  Maharashtra"
"ITC Limited","Hospitality Trainee (Front Office). 12-month role in a hotel. Learn check-in/check-out procedures,  handle guest reservations,  and provide concierge services.","B.Sc in Hospitality or B.A. (any discipline). Good communication skills. Must meet PMIS eligibility.","New Delhi,  Delhi"
"Tata Consultancy Services Limited","Data Processing Trainee (BPO). 12-month back-office role. Perform data entry and validation for a client in the banking sector. High accuracy required.","B.Com or B.A. graduate (non-premier institute). Must meet PMIS age (21-24) and income (<8L) criteria.","Chennai,  Tamil Nadu"
"HCL Technologies Limited","HR Trainee (Onboarding). 12-month role assisting the HR team. Manage new hire documentation,  coordinate background verification,  and support induction.","BBA (HR) graduate (non-premier institute). Must meet PMIS age (21-24) and income (<8L) criteria.","Noida,  Uttar Pradesh"
"Muthoot Finance Limited","Back-Office Trainee. 12-month branch role. Support documentation for loans,  data entry,  and file management. Non-customer facing.","B.Com or B.A. graduate (non-premier institute). Must meet PMIS age (21-24) and income (<8L) criteria.","Hyderabad,  Telangana"
"Oil India Limited","Mechanical Maintenance Trainee. 12-month hands-on role at a field installation. Assist in maintenance of pumps,  compressors,  and engines.","ITI (Fitter/Mechanic) or Diploma in Mechanical Engineering. Must meet PMIS age and income criteria.","Duliajan,  Assam"
"Steel Authority of India Limited","Operations Trainee (Steel Melting Shop). 12-month hands-on role. Learn steelmaking processes,  assist in operations,  and support quality sampling.","Diploma in Metallurgical Engineering. Must meet PMIS age (21-24) and income (<8L) criteria.","Bhilai,  Chhattisgarh"
"Kotak Mahindra Bank Limited","Branch Operations Support Trainee. 12-month role assisting with non-cash transactions,  customer query handling,  and documentation.","B.Com or BBA graduate (non-premier institute). Must meet PMIS age (21-24) and income (<8L) criteria.","Chennai,  Tamil Nadu"
"Tech Mahindra Limited","Network Trainee (Internal IT). 12-month role supporting the internal IT team. Assist with LAN/WAN troubleshooting,  managing network assets,  and cabling.","Diploma in Computer Science/IT. Must meet PMIS age (21-24) and income (<8L) criteria.","Bengaluru,  Karnataka"
"Northern Coalfields Limited","Survey Support Trainee. 12-month on-site role. Assist survey teams in open-cast mines with measurements,  data logging,  and map updates.","Diploma in Mining Survey or Civil Engineering. Must meet PMIS age and income criteria.","Singrauli,  Madhya Pradesh"
"UltraTech Cement Limited","Mechanical Maintenance Trainee. 12-month hands-on role. Assist in maintaining heavy machinery (kilns,  mills,  crushers). Learn preventive maintenance.","ITI (Fitter) or Diploma in Mechanical Engineering. Must meet PMIS age and income criteria.","Tadipatri,  Andhra Pradesh"
"Hero MotoCorp Limited","Quality Inspection Trainee. 12-month shop-floor role. Learn to inspect incoming components from suppliers for quality and specifications.","Diploma in Mechanical/Automobile Engineering. Must meet PMIS age (21-24) and income (<8L) criteria.","Jaipur,  Rajasthan"
"NHPC Limited","Finance Trainee (Power Station). 12-month office role at the power station. Assist the finance team with voucher entry,  bill processing,  and data management.","B.Com graduate (non-premier institute). Must meet PMIS age (21-24) and income (<8L) criteria.","Baira Siul,  Himachal Pradesh"
"Asian Paints Limited","Warehouse Trainee (Inventory). 12-month role at a distribution center. Learn stock-taking,  cycle counting,  and inventory management using scanners.","B.Com (Logistics) or BBA (non-premier institute). Must meet PMIS age (21-24) and income (<8L) criteria.","Nagpur,  Maharashtra"
"IndusInd Bank Ltd","Back-Office Trainee (Loan Admin). 12-month role. Support data entry,  file management,  and documentation for the loan administration department.","B.Com or B.A. graduate (non-premier institute). Must meet PMIS age (21-24) and income (<8L) criteria.","Kolkata,  West Bengal"
"Samsung India Electronics Private Limited","HR Trainee (Admin). 12-month office role. Support the HR team with administrative tasks,  employee data management,  and coordinating events.","BBA (HR) graduate (non-premier institute). Must meet PMIS age (21-24) and income (<8L) criteria.","Noida,  Uttar Pradesh"
"Mahanadi Coalfields Limited","Electrical Maintenance Trainee. 12-month hands-on role. Assist electricians in maintaining electrical systems in the colliery and workshops.","Diploma in Electrical Engineering (EEE). Must meet PMIS age (21-24) and income (<8L) criteria.","Talcher,  Odisha"
"Shriram Finance Limited","Branch Support Trainee (IT). 12-month role providing basic IT support (PC,  printer,  network) to branch employees. Coordinate with central IT team.","Diploma in Computer Hardware or B.Sc (IT). Must meet PMIS age (21-24) and income (<8L) criteria.","Ahmedabad,  Gujarat"
"Bandhan Bank Limited","HR Trainee (Admin). 12-month role at a regional office. Assist with documentation,  file management,  and recruitment coordination.","BBA (HR) graduate (non-premier institute). Must meet PMIS age (21-24) and income (<8L) criteria.","Kolkata,  West Bengal"
"Ambuja Cements Limited","Production Trainee (Cement Mill). 12-month hands-on role. Learn cement grinding operations,  monitor control panels,  and assist shift engineers.","Diploma in Chemical/Mechanical Engineering. Must meet PMIS age and income criteria.","Marwar Mundwa,  Rajasthan"
"Oil and Natural Gas Corporation Limited","Instrumentation Trainee. 12-month hands-on role. Assist technicians in maintaining and calibrating field instruments (sensors,  transmitters) at a plant.","Diploma in Instrumentation Engineering (EIE). Must meet PMIS age (21-24) and income (<8L) criteria.","Uran,  Maharashtra"
"Maruti Suzuki India Limited","Quality Trainee (Engine Plant). 12-month role in the engine plant. Learn to inspect engine components,  use gauges,  and log quality data.","Diploma in Mechanical/Automobile Engineering. Must meet PMIS age (21-24) and income (<8L) criteria.","Manesar,  Haryana"
"HDFC Bank Limited","Operations Trainee (Cheque Clearing). 12-month back-office role. Manage inward/outward cheque clearing,  verify images,  and handle discrepancies.","B.Com graduate (non-premier institute). Must meet PMIS age (21-24) and income (<8L) criteria.","Mumbai,  Maharashtra"
"Reliance Industries Limited","Logistics Trainee (Warehouse). 12-month role at a large warehouse. Learn inventory management,  material handling,  and dispatch coordination using SAP.","B.Com (Logistics) or Diploma in Materials Management. Must meet PMIS age and income criteria.","Hazira,  Gujarat"
"Infosys Limited","HR Trainee (BPO). 12-month role supporting the HR operations for the BPO division. Assist with data management,  onboarding,  and exit formalities.","BBA (HR) graduate (non-premier institute). Must meet PMIS age (21-24) and income (<8L) criteria.","Pune,  Maharashtra"
"Tata Steel Limited","Safety Trainee. 12-month on-site role. Assist the safety department with plant inspections,  tool-box talks,  and maintaining safety compliance records.","Diploma in Industrial Safety or B.Sc (any discipline). Must meet PMIS age (21-24) and income (<8L) criteria.","Jamshedpur,  Jharkhand"
"Larsen and Toubro Limited","Store Keeper Trainee (Project Site). 12-month on-site role. Manage inventory of construction materials,  issue items,  and maintain stock records.","B.Com or Diploma in Materials Management. Must meet PMIS age (21-24) and income (<8L) criteria.","Hyderabad,  Telangana"
"ICICI Bank Limited","Operations Trainee (Branch). 12-month role supporting non-cash transactions,  handling customer queries,  and managing branch documentation.","B.Com or BBA graduate (non-premier institute). Must meet PMIS age (21-24) and income (<8L) criteria.","Indore,  Madhya Pradesh"
"Hindustan Unilever Limited","Finance Trainee (Factory). 12-month office role at a factory. Assist with bill processing,  data entry,  and supporting the factory accounts team.","B.Com graduate (non-premier institute). Must meet PMIS age (21-24) and income (<8L) criteria.","Kolkata,  West Bengal"
"Wipro Limited","Service Desk Trainee (Internal). 12-month role providing IT support to Wipro employees. Handle password resets,  software issues,  and hardware requests.","B.Sc (IT) or BCA (non-premier institute). Must meet PMIS age (21-24) and income (<8L) criteria.","Bengaluru,  Karnataka"
"Mahindra and Mahindra Limited","HR Trainee (Admin). 12-month office role at the plant. Assist with time-keeping,  payroll data collection,  and employee engagement activities.","BBA (HR) or B.A. (any discipline) graduate (non-premier). Must meet PMIS age and income criteria.","Nashik,  Maharashtra"
"GAIL (India) Limited","Finance Trainee (Admin). 12-month office role at a plant/station. Assist with processing invoices,  managing vouchers,  and data entry.","B.Com graduate (non-premier institute). Must meet PMIS age (21-24) and income (<8L) criteria.","Vijaipur,  Madhya Pradesh"
"Bajaj Auto Limited","Assembly Trainee (Commercial Vehicles). 12-month hands-on role assembling three-wheelers. Learn production processes and quality checks.","ITI (Fitter/Mechanic) or Diploma in Mechanical/Automobile Engineering. Must meet PMIS eligibility.","Waluj,  Maharashtra"
"NTPC Limited","Lab Trainee (Chemistry). 12-month role in the plant's lab. Learn to test water,  coal,  and oil samples. Maintain lab equipment and records.","B.Sc (Chemistry). Must meet PMIS age (21-24) and income (<8L) criteria. Not from premier institute.","Farakka,  West Bengal"
"Axis Bank Limited","Operations Trainee (Loan Processing). 12-month back-office role. Verify documents for personal/auto loans,  check compliance,  and coordinate with branches.","B.Com or BBA graduate (non-premier institute). Must meet PMIS age (21-24) and income (<8L) criteria.","Chennai,  Tamil Nadu"
"Indian Oil Corporation Limited","Finance Trainee (Admin). 12-month office role at a refinery/plant. Assist the finance team with data entry,  bill processing,  and documentation.","B.Com graduate (non-premier institute). Must meet PMIS age (21-24) and income (<8L) criteria.","Paradip,  Odisha"
"Hindustan Petroleum Corporation Limited","HR Trainee (Admin). 12-month office role at a refinery. Support HR functions like time-keeping,  training coordination,  and employee records.","BBA (HR) graduate (non-premier institute). Must meet PMIS age (21-24) and income (<8L) criteria.","Mumbai,  Maharashtra"
"Reliance Retail Limited","Inventory Trainee (JioMart). 12-month role at a fulfillment center. Learn stock auditing,  cycle counting,  and inventory reconciliation using handheld devices.","B.Com (Logistics) or BBA (non-premier institute). Must meet PMIS age (21-24) and income (<8L) criteria.","Chennai,  Tamil Nadu"
"JSW Steel Limited","Mechanical Maintenance Trainee. 12-month hands-on role. Assist in the maintenance and repair of plant machinery (e.g.,  mills,  cranes).","ITI (Fitter) or Diploma in Mechanical Engineering. Must meet PMIS age (21-24) and income (<8L) criteria.","Dolvi,  Maharashtra"
"Power Grid Corporation of India Limited","IT Helpdesk Trainee (Regional HQ). 12-month role providing basic IT support (PC,  printer,  network) to employees. Log and resolve tickets.","Diploma in Computer Science/IT or B.Sc (IT). Must meet PMIS age and income criteria.","Shillong,  Meghalaya"
"ITC Limited","Finance Trainee (Factory). 12-month office role at a plant. Assist the accounts team with data entry,  invoice processing,  and managing records.","B.Com graduate (non-premier institute). Must meet PMIS age (21-24) and income (<8L) criteria.","Bengaluru,  Karnataka"
"Tata Consultancy Services Limited","HR Trainee (Payroll). 12-month back-office role. Assist the payroll team with data collection,  verification,  and query handling.","B.Com or BBA (HR) graduate (non-premier). Must meet PMIS age (21-24) and income (<8L) criteria.","Mumbai,  Maharashtra"
"HCL Technologies Limited","Quality Analyst Trainee (BPO). 12-month role. Learn to audit calls/transactions for quality,  provide feedback,  and prepare reports.","B.A.,  B.Sc,  or B.Com graduate (non-premier). Good analytical skills. Must meet PMIS eligibility.","Noida,  Uttar Pradesh"
"Muthoot Finance Limited","IT Support Trainee (Regional). 12-month role providing basic IT support to branches in a region. Involves travel. Troubleshoot PC,  printer,  and network issues.","Diploma in Computer Hardware/Networking. Must meet PMIS age (21-24) and income (<8L) criteria.","Chennai,  Tamil Nadu"
"Oil India Limited","Fire & Safety Trainee. 12-month on-site role. Assist the safety team,  maintain firefighting equipment,  and support safety drills at field installations.","Diploma in Fire & Safety. Must meet PMIS age (21-24) and income (<8L) criteria.","Duliajan,  Assam"
"Steel Authority of India Limited","Materials Management Trainee. 12-month office role at the plant. Assist in procurement,  stores management,  and inventory control.","B.Com or Diploma in Materials Management. Must meet PMIS age and income criteria.","Bokaro,  Jharkhand"
"Kotak Mahindra Bank Limited","HR Trainee (Recruitment Support). 12-month role assisting the HR team. Source resumes,  schedule interviews,  and coordinate with candidates.","BBA (HR) graduate (non-premier institute). Must meet PMIS age (21-24) and income (<8L) criteria.","Mumbai,  Maharashtra"
"Tech Mahindra Limited","Desktop Support Trainee. 12-month role providing hands-on IT support to internal employees. Install software,  troubleshoot hardware,  and manage assets.","Diploma in Computer Hardware/Networking. Must meet PMIS age (21-24) and income (<8L) criteria.","Pune,  Maharashtra"
"Northern Coalfields Limited","Blasting Support Trainee. 12-month on-site role. Assist blasting teams with logistics,  safety checks,  and documentation in open-cast mines.","Diploma in Mining Engineering. Must meet PMIS age (21-24) and income (<8L) criteria.","Singrauli,  Madhya Pradesh"
"UltraTech Cement Limited","Operations Trainee (Packing Plant). 12-month hands-on role. Learn to operate and maintain automated packing machines. Manage dispatch loading.","ITI (Fitter) or Diploma in Mechanical Engineering. Must meet PMIS age and income criteria.","Jafrabad,  Gujarat"
"Hero MotoCorp Limited","HR Trainee (Admin). 12-month office role at the plant. Support time-office,  leave management,  and employee data records.","BBA (HR) graduate (non-premier institute). Must meet PMIS age (21-24) and income (<8L) criteria.","Haridwar,  Uttarakhand"
"NHPC Limited","Mechanical Maintenance Trainee. 12-month hands-on role at a hydro-power station. Assist in maintenance of turbines,  generators,  and auxiliary equipment.","ITI (Fitter) or Diploma in Mechanical Engineering. Must meet PMIS age and income criteria.","Sewa,  Jammu and Kashmir"
"Asian Paints Limited","Supply Chain Trainee (Logistics). 12-month office role at a plant. Coordinate with transporters,  manage dispatch documentation,  and track shipments.","B.Com (Logistics) or BBA (non-premier institute). Must meet PMIS age (21-24) and income (<8L) criteria.","Ankleshwar,  Gujarat"
"IndusInd Bank Ltd","Finance Trainee (Data Entry). 12-month back-office role. Support the finance team with data entry,  voucher management,  and report preparation.","B.Com graduate (non-premier institute). Must meet PMIS age (21-24) and income (<8L) criteria.","Mumbai,  Maharashtra"
"Samsung India Electronics Private Limited","Warehouse Trainee (Inventory). 12-month role managing inventory of electronic components,  issuing parts to the assembly line,  and using SAP.","B.Com or Diploma in Materials Management. Must meet PMIS age (21-24) and income (<8L) criteria.","Noida,  Uttar Pradesh"
